score,targets_reached,n_steps,payload_accel_w,payload_quat_w_0,payload_quat_w_1,payload_quat_w_2,payload_quat_w_3,drone_quat_w_0,drone_quat_w_1,drone_quat_w_2,drone_quat_w_3,payload_angvel_w,drone_angvel_w,cable_angles_w,N,velocity_ref,r_T,r_tau,W_Tf,T_f_initial
9675,306,397,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,18,10,0.01,0.01,0.1,2
9963,18,36,6,0.05608536969324525,0.3525151509318694,0.07252308149021337,0.2931067731377196,0.06703990893959823,0.08572183036734239,0.4560174896447937,0.05100191640198844,0.2500338255649018,0.26198502481287755,0.4215291768832823,16,2.815588118697307,0.11704832279781704,0.20086248759144865,0.4757200483937736,1.726804596711698
9981,0,1,8,0.21198680689261362,0.3269081691248234,0.2868349428094729,0.34010865895971326,0.10537293118735122,0.28952377478893837,0.30818439137199355,0.08433573631582665,0.17870563062776493,0.04771529794592584,0.26674964888737446,15,7.609369457853926,0.45965429597342355,0.33736165731458173,0.4130540011264025,1.9572380713953372
9561,420,4914,0,0.2617433197758402,0.12589271456017423,0.35508688180392556,0.02972243192994873,0.28609395743446353,0.4037451676244107,0.24464242049708096,0.12124594941740033,0.24174102407345188,0.00019781508604177494,0.25240080691008865,18,2.630788234375268,0.1556091600497422,0.4943805744913272,0.14082392493756687,0.3305576174631473
9911,70,200,8,0.3123409410036939,0.2365157842312995,0.08581937629048049,0.39817211095580857,0.3047948335571034,0.08366132717572368,0.025546056556493564,0.2289399856959265,0.16438060644492872,0.2002995359025892,0.01859419018437575,20,2.4067397127313077,0.08114237990725422,0.15379548992306932,0.04458008942545489,0.7207751337991187
9981,0,12001,0,0.4198703426117334,0.12452859848067624,0.45993950619343454,0.3282784703937941,0.09898189087242684,0.09370602572613503,0.033324163905241184,0.4993226049384213,0.06916265359412795,0.28547698566253055,0.4332474857631938,14,0.6314584898625487,0.012107942001000797,0.40888115443813244,0.055461659530286714,1.1596403493459397
9501,480,3409,2,0.47917735158022584,0.3227308024194679,0.34969543115888796,0.012980920388891152,0.4674396782414867,0.2720001960795328,0.24550457492338307,0.39653407145143216,0.16201593619126362,0.27479384081733954,0.3048195392050757,14,1.3960768626082412,0.16622839840541007,0.20255409704198263,0.2335248176175121,0.7957477407230642
9896,85,231,5,0.1495551755572049,0.005658772764144227,0.1763744978691452,0.36160490590182703,0.422689471283471,0.41451087888230975,0.4048576750635397,0.13299251366149376,0.16726928799969124,0.3524080002997628,0.036059157482951805,13,5.917668808592021,0.4782369434849422,0.3111239157826001,0.13724083593601835,1.2244014218398545
9808,173,222,6,0.22980771371615172,0.4454035918846812,0.054526376261553225,0.041009744962259904,0.18384816815173874,0.4116464182952558,0.19949039847706113,0.3665068690361864,0.17425568503368757,0.4576999751296048,0.4272242155547368,20,3.6178448736204754,0.14272696521980657,0.29659248233497026,0.49127431114686954,1.593016550700459
9508,473,637,4,0.4256774180304865,0.22635054013941508,0.17252386888102886,0.39676386217315984,0.03953951650081584,0.10370185489715941,0.2785348386110617,0.4284231531156571,0.05618360412018504,0.4038685609203251,0.3597701837708609,18,9.392991936989132,0.02496691466530549,0.03726088108847737,0.036400671524138346,1.905769810273827
