score,distance_to_goal,n_steps,sum_dists,payload_pos_w,payload_vel_w,payload_accel_w,payload_quat_w_0,payload_quat_w_1,payload_quat_w_2,payload_quat_w_3,drone_quat_w_0,drone_quat_w_1,drone_quat_w_2,drone_quat_w_3,payload_angvel_w,drone_angvel_w,cable_angles_w,N,velocity_ref,r_T,r_tau,W_Tf,T_f_initial,N_lookahead
0.13785518342953118,0.4963113830389116,1248,1692.75917147656,9.81753931330093,0.191324202558108,0.101040322577169,0.0906526699893534,0.231870121357868,0.246607324703919,0.0201462697714508,0.272467757523852,0.279022962377033,0.0379100888996108,0.291848075042411,0.263800935539326,0.242434653206998,0.239028910167166,11,4.48465183171528,0.095294066664569,0.132363467070303,0.124419682092534,1.58763406393806,5
28.42422515830467,28.42422515830467,1,0.0,40.84443440871049,0.18343478986616382,0.7796910002727695,0.5968501579464871,0.44583275285359125,0.09997491581800291,0.45924889196586727,0.3337086111390219,0.1428668179219408,0.650888472948853,0.05641157902710027,0.7219987722668249,0.9385527090157504,0.0007787658410143285,20,6.174815096277166,0.611653160488281,0.007066305219717408,0.02306242504141576,1.5743239807751679,5
0.9003256614148003,0.9003256614148003,4308,408.44965376502313,7.099954844612695,0.9737555188414594,0.23277134043030429,0.09060643453282081,0.6183860093330874,0.38246199126716285,0.9832308858067884,0.46676289324798004,0.8599404067363208,0.6803075385877798,0.4504992519695431,0.013264961159866532,0.942201755684853,0.5632882178455394,11,0.15966252220214197,0.23089382562214905,0.24102546602601177,0.6832635188254583,1.829989973347863,8
2.055321296842419,2.055321296842419,1083,1317.5654494214177,12.801409407849745,0.3910606075732409,0.18223608778806236,0.7553614103176527,0.4251558744912448,0.20794166286818888,0.5677003278199916,0.03131329245555859,0.8422847745949987,0.4497541333697658,0.39515023600181454,0.9266588657937944,0.727271995856421,0.32654076880583544,14,5.208342600258238,0.9611720243493493,0.8445338486781516,0.747320110137381,1.6190763971672397,6
19.451780432981295,19.451780432981295,12001,420.52766755763406,48.43648882688622,0.6070342476866848,0.2759991820225434,0.29627350570408245,0.16526693906300252,0.015636406741193935,0.42340148070636974,0.3948815181755698,0.2934881747180382,0.01407982271508446,0.1988424040888052,0.7113419527486501,0.7901755405312059,0.6059599747810115,19,6.5107702550194455,0.914959675543781,0.8500385777897995,0.4494506741382035,0.28623034947123405,4
28.42422515830467,28.42422515830467,1,0.0,35.09785636986233,0.6659223566174968,0.5912977877077272,0.2747217929900642,0.5612434258477013,0.38292687475378995,0.971712095389104,0.8489138242660841,0.7217295211648733,0.2359849197489558,0.256068322761324,0.040433589538431354,0.7106628896857875,0.11089082081183135,12,2.0171920233539624,0.8957635956735196,0.47537022318211186,0.5632755719763838,2.086548259278383,2
14.399302237396958,14.399302237396958,991,649.0187352087892,32.19878206750178,0.5398410913016732,0.20306122473476945,0.9428535705579812,0.5988654664885361,0.6947849330397047,0.8804678390152579,0.6243540481337934,0.29563368583771404,0.10549425983027064,0.45653457048291035,0.21844043721683365,0.4165099478703663,0.8832802589188685,10,1.2208795470067337,0.35629783807697496,0.9068284415457543,0.27213224938463537,1.9430703616240872,1
1.0237261001503315,1.0237261001503315,5279,36657.52157387457,20.865598535037606,0.3047812581580291,0.16465585314294176,0.5340894193754421,0.4848299713589833,0.6924360328902704,0.26941233379852153,0.24412552224777423,0.1682910421729306,0.2187642195730703,0.5581020020173413,0.4038361710580409,0.06489224710898157,0.25391541393434475,9,6.963042728397885,0.7122705899244421,0.14808692995339992,0.9977404850489421,0.8003430428258551,10
28.349702357508484,28.349702357508484,46,0.09665304181599911,23.496665599320412,0.03305073290054839,0.34507124802668304,0.6343513447013639,0.6807054515547669,0.5309345833171365,0.44778316457309175,0.5528930890713281,0.5926967238793936,0.08085332633271526,0.3696544560614045,0.24215993827742593,0.8031397563798961,0.47030063444603853,20,3.988244424445532,0.8164318732193842,0.7983451249845513,0.1507175439654295,1.5245963302221563,7
18.373536460914785,18.373536460914785,476,106.02234434846106,43.6261462166174,0.3259589052018848,0.22024104756554835,0.7111495324380179,0.8095010461397156,0.34866598729172943,0.09617655109142079,0.9405232644896042,0.39757202108752243,0.5177513505274802,0.8377101059073282,0.6756901170392808,0.7352161192407722,0.20907162073771374,13,6.9578439934508225,0.22855002179729972,0.1749549270959362,0.9821683433294358,1.5499076738130433,3
